ID;;C_G;Licence_plate;Category;Color;Trajectory_start;Trajectory_end;Average_ speed_kpxh;Minimum_speed_kpxh;Maximum_speed_kpxh;Section_speed_kmh;Duration_of_occurrence_s;Stationary_duration_s;;
729655;394;C115_G1;;car;white;1665237911360;1665237911500;489.68;485.87;494.76;;0.14;0.00;;
729738;83;C115_G1;;car;black;1665237933500;1665237933660;647.24;634.04;660.45;;0.16;0.00;;
730021;283;C115_G1;;car;black;1665237970540;1665237970760;429.44;428.42;432.15;;0.22;0.00;;
730664;643;C115_G1;;light;white;1665238071460;1665238071520;458.88;458.88;458.88;;0.06;0.00;;
731016;352;C115_G1;;car;black;1665238136960;1665238137020;340.33;340.33;340.33;;0.06;0.00;;
731025;9;C115_G1;;car;silver;1665238139180;1665238139460;226.22;226.22;226.22;;0.28;0.00;;
731269;244;C115_G1;;car;black;1665238183920;1665238184020;481.31;481.31;481.31;;0.10;0.00;;
731407;138;C115_G1;;car;silver;1665238205740;1665238205860;482.30;482.30;482.30;;0.12;0.00;;
732008;601;C115_G1;;car;black;1665238339060;1665238339200;303.15;303.15;303.15;;0.14;0.00;;
732187;179;C115_G1;;car;white;1665238359020;1665238359200;466.27;453.69;469.86;;0.18;0.00;;
732476;289;C115_G1;;car;black;1665238421140;1665238421200;344.60;344.60;344.60;;0.06;0.00;;
732623;147;C115_G1;;car;black;1665238458440;1665238458480;445.06;445.06;445.06;;0.04;0.00;;
732660;37;C115_G1;;car;black;1665238470940;1665238471120;434.46;428.60;441.79;;0.18;0.00;;
732674;14;C115_G1;;car;black;1665238473840;1665238473920;328.04;328.04;328.04;;0.08;0.00;;
732965;291;C115_G1;;car;white;1665238531720;1665238531880;467.02;459.51;471.53;;0.16;0.00;;
732970;5;C115_G1;;car;silver;1665238533960;1665238534160;402.96;392.11;410.20;;0.20;0.00;;
733244;274;C115_G1;;car;black;1665238598160;1665238598200;459.28;459.28;459.28;;0.04;0.00;;
733462;218;C115_G1;;car;white;1665238630840;1665238630940;430.95;430.95;430.95;;0.10;0.00;;
733936;474;C115_G1;;car;white;1665238716700;1665238716840;581.43;581.43;581.43;;0.14;0.00;;
734046;110;C115_G1;;car;silver;1665238739360;1665238739460;405.37;405.37;405.37;;0.10;0.00;;
734279;233;C115_G1;;car;silver;1665238764720;1665238764740;460.18;460.18;460.18;;0.02;0.00;;
734915;636;C115_G1;;car;black;1665238874800;1665238874940;473.09;455.26;476.06;;0.14;0.00;;
734922;7;C115_G1;;car;black;1665238876700;1665238876840;479.01;479.01;479.01;;0.14;0.00;;
734929;7;C115_G1;;car;black;1665238879280;1665238879420;438.02;438.02;438.02;;0.14;0.00;;
