ID;C_G;Licence_plate;Category;Color;Trajectory_start;Trajectory_end;Average_ speed_kpxh;Minimum_speed_kpxh;Maximum_speed_kpxh;Section_speed_kmh;Duration_of_occurrence_s;Stationary_duration_s
1443551;C115_G4;;car;silver;1665919074600;1665919074680;1086.36;1086.36;1086.36;;0.08;0.00
1443772;C115_G4;;car;silver;1665919142180;1665919142240;945.64;945.64;945.64;;0.06;0.00
1443787;C115_G4;;car;black;1665919146860;1665919146960;1460.95;1460.86;1461.01;;0.10;0.00
1443909;C115_G4;;car;black;1665919224200;1665919224240;1231.89;1231.89;1231.89;;0.04;0.00
1444115;C115_G4;;car;silver;1665919336900;1665919336940;1371.30;1371.30;1371.30;;0.04;0.00
1444214;C115_G4;;car;silver;1665919392140;1665919392260;856.44;855.37;857.50;;0.12;0.00
1444395;C115_G4;;car;black;1665919462500;1665919462580;941.04;941.04;941.04;;0.08;0.00
1444542;C115_G4;;car;black;1665919522660;1665919522740;933.98;933.98;933.98;;0.08;0.00
1444546;C115_G4;;car;white;1665919525780;1665919525840;921.01;921.01;921.01;;0.06;0.00
1444879;C115_G4;;car;white;1665919619460;1665919619520;895.09;895.09;895.09;;0.06;0.00
1445051;C115_G4;;car;black;1665919704660;1665919704780;1187.58;1182.47;1192.70;;0.12;0.00
1445163;C115_G4;;car;black;1665919769040;1665919769080;1491.24;1491.24;1491.24;;0.04;0.00
1445219;C115_G4;;car;silver;1665919821640;1665919821700;887.95;887.95;887.95;;0.06;0.00
1445463;C115_G4;;car;silver;1665919947300;1665919947380;966.43;966.43;966.43;;0.08;0.00
1445618;C115_G4;;car;black;1665920033560;1665920033640;1028.71;1028.71;1028.71;;0.08;0.00
1445836;C115_G4;;car;white;1665920140080;1665920140160;1015.16;1015.16;1015.16;;0.08;0.00
1446110;C115_G4;;car;red;1665920284520;1665920284580;1025.03;1025.03;1025.03;;0.06;0.00
1446169;C115_G4;;car;silver;1665920333580;1665920333640;1076.65;1076.65;1076.65;;0.06;0.00
1446195;C115_G4;;car;silver;1665920346600;1665920346660;997.52;997.52;997.52;;0.06;0.00
1446323;C115_G4;;light;white;1665920387760;1665920387900;902.93;902.67;903.28;;0.14;0.00
1446528;C115_G4;;car;black;1665920477000;1665920477060;1184.91;1184.91;1184.91;;0.06;0.00
1446804;C115_G4;;car;black;1665920575540;1665920575600;1148.12;1148.12;1148.12;;0.06;0.00
1446850;C115_G4;;car;silver;1665920604000;1665920604060;1084.49;1084.49;1084.49;;0.06;0.00
1446859;C115_G4;;car;black;1665920611440;1665920611520;931.03;931.03;931.03;;0.08;0.00
1446868;C115_G4;;car;silver;1665920613700;1665920613760;1113.08;1113.08;1113.08;;0.06;0.00
1447156;C115_G4;;car;black;1665920779040;1665920779120;992.68;992.68;992.68;;0.08;0.00
