C_G;START_TIMESTAMP;END_TIMESTAMP;BICYCLE;BUS;CAR;HEAVY;LIGHT;MOTORCYCLE;DATA_VALIDITY_STATUS
C115_G4;1657205065620;1661209799000;119;933;38611;285;973;789;ok
C115_G4;1657205065620;1661209812960;119;933;38612;285;973;789;ok
C115_G4;1657205065620;1661209848340;119;933;38613;285;973;789;ok
C115_G4;1657205065620;1661209855500;119;933;38614;285;973;789;ok
C115_G4;1657205065620;1661209869480;119;933;38615;285;973;789;ok
C115_G4;1657205065620;1661209872200;119;933;38616;285;973;789;ok
C115_G4;1657205065620;1661209942420;119;933;38617;285;973;789;ok
C115_G4;1657205065620;1661209964240;119;933;38618;285;973;789;ok
C115_G4;1657205065620;1661210015720;119;933;38620;285;973;789;ok
C115_G4;1657205065620;1661210021520;119;933;38621;285;973;789;ok
C115_G4;1657205065620;1661210120720;119;933;38622;285;973;789;ok
C115_G4;1657205065620;1661210176300;119;933;38623;285;973;789;ok
C115_G4;1657205065620;1661210183460;119;933;38624;285;973;789;ok
C115_G4;1657205065620;1661210243120;119;933;38625;285;973;789;ok
C115_G4;1657205065620;1661210247220;119;933;38626;285;973;789;ok
C115_G4;1657205065620;1661210271420;119;933;38627;285;973;789;ok
C115_G4;1657205065620;1661210276540;119;933;38628;285;973;789;ok
C115_G4;1657205065620;1661210297320;119;933;38629;285;973;789;ok
C115_G4;1657205065620;1661210315040;119;933;38630;285;973;789;ok
C115_G4;1657205065620;1661210349800;119;933;38631;285;973;789;ok
C115_G4;1657205065620;1661210359660;119;933;38632;285;973;789;ok
C115_G4;1657205065620;1661210398860;119;933;38633;285;973;789;ok
C115_G4;1657205065620;1661210468060;119;933;38634;285;973;789;ok
C115_G4;1657205065620;1661210469080;119;933;38635;285;973;789;ok
C115_G4;1657205065620;1661210496700;119;933;38636;285;973;789;ok
C115_G4;1657205065620;1661210513740;119;933;38637;285;973;789;ok
C115_G4;1657205065620;1661210531120;119;933;38638;285;973;789;ok
C115_G4;1657205065620;1661210533860;119;933;38639;285;973;789;ok
C115_G4;1657205065620;1661210557380;119;933;38640;285;973;789;ok
C115_G4;1657205065620;1661210561120;119;933;38641;285;973;789;ok
C115_G4;1657205065620;1661210581920;119;933;38642;285;973;789;ok
C115_G4;1657205065620;1661210606120;119;933;38643;285;973;789;ok
C115_G4;1657205065620;1661210613280;119;933;38644;285;973;789;ok
C115_G4;1657205065620;1661210628620;119;933;38645;285;973;789;ok
C115_G4;1657205065620;1661210665080;119;933;38646;285;973;789;ok
C115_G4;1657205065620;1661210670200;119;934;38646;285;973;789;ok
C115_G4;1657205065620;1661210704980;119;934;38647;285;973;789;ok
C115_G4;1657205065620;1661210724060;119;934;38648;285;973;789;ok
C115_G4;1657205065620;1661210753040;119;934;38649;285;973;789;ok
C115_G4;1657205065620;1661210882240;119;934;38650;285;973;789;ok
C115_G4;1657205065620;1661210901680;119;934;38651;285;973;789;ok
C115_G4;1657205065620;1661210982120;119;934;38652;285;973;789;ok
C115_G4;1657205065620;1661211044500;119;935;38652;285;973;789;ok
C115_G4;1657205065620;1661211086440;119;935;38652;285;973;790;ok
C115_G4;1657205065620;1661211216860;119;935;38653;285;973;790;ok
C115_G4;1657205065620;1661211235040;119;935;38654;285;973;790;ok
C115_G4;1657205065620;1661211326600;119;935;38655;285;973;790;ok
C115_G4;1657205065620;1661211368760;119;935;38656;285;973;790;ok
C115_G4;1657205065620;1661211395500;119;935;38657;285;973;790;ok
C115_G4;1657205065620;1661211425000;119;935;38658;285;973;790;ok
C115_G4;1657205065620;1661211485700;119;935;38659;285;973;790;ok
C115_G4;1657205065620;1661211488780;119;935;38660;285;973;790;ok
C115_G4;1657205065620;1661211588900;119;935;38661;285;973;790;ok
C115_G4;1657205065620;1661211616000;119;935;38662;285;973;790;ok
C115_G4;1657205065620;1661211617360;119;935;38663;285;973;790;ok
C115_G4;1657205065620;1661211650960;119;935;38664;285;973;790;ok
C115_G4;1657205065620;1661211699300;119;935;38665;285;973;790;ok
C115_G4;1657205065620;1661211845020;119;935;38666;285;973;790;ok
C115_G4;1657205065620;1661211977060;119;935;38667;285;973;790;ok
C115_G4;1657205065620;1661212078540;119;935;38668;285;973;790;ok
C115_G4;1657205065620;1661212115580;119;935;38669;285;973;790;ok
C115_G4;1657205065620;1661212147480;119;935;38670;285;973;790;ok
C115_G4;1657205065620;1661212164600;119;935;38671;285;973;790;ok
C115_G4;1657205065620;1661212415220;119;935;38672;285;973;790;ok
C115_G4;1657205065620;1661212517400;119;935;38673;285;973;790;ok
C115_G4;1657205065620;1661212541400;119;935;38674;285;973;790;ok
C115_G4;1657205065620;1661212542780;119;935;38675;285;973;790;ok
C115_G4;1657205065620;1661212591480;119;935;38676;285;973;790;ok
C115_G4;1657205065620;1661212628840;119;935;38677;285;973;790;ok
C115_G4;1657205065620;1661212800260;119;935;38678;285;973;790;ok
C115_G4;1657205065620;1661212937420;119;935;38679;285;973;790;ok
C115_G4;1657205065620;1661213051260;119;935;38680;285;973;790;ok
C115_G4;1657205065620;1661213093160;119;935;38681;285;973;790;ok
C115_G4;1657205065620;1661213400700;119;935;38682;285;973;790;ok
C115_G4;1657205065620;1661213553000;119;935;38683;285;973;790;ok
C115_G4;1657205065620;1661213597920;119;935;38684;285;973;790;ok
C115_G4;1657205065620;1661213607180;119;935;38685;285;973;790;ok
C115_G4;1657205065620;1661213611640;119;935;38686;285;973;790;ok
C115_G4;1657205065620;1661213684320;119;935;38687;285;973;790;ok
C115_G4;1657205065620;1661213704880;119;935;38688;285;973;790;ok
C115_G4;1657205065620;1661213921120;119;935;38689;285;973;790;ok
C115_G4;1657205065620;1661214018060;119;935;38690;285;973;790;ok
C115_G4;1657205065620;1661214019760;119;935;38691;285;973;790;ok
C115_G4;1657205065620;1661214117180;119;935;38692;285;973;790;ok
C115_G4;1657205065620;1661214133300;119;935;38693;285;973;790;ok
C115_G4;1657205065620;1661214185260;119;935;38694;285;973;790;ok
C115_G4;1657205065620;1661214275820;119;935;38694;285;974;790;ok
